Zip Code,Percent bachelor's degree or higher,Percent high school graduate or higher,Total population
84531,2.1,72.3,998
84536,5.3,80.7,1821
85003,38.2,85.3,8694
85004,39,84,5944
85006,19.5,61.8,27671
85007,22,68.7,14810
85008,17.8,69.2,60700
85009,5.8,54.1,47810
85012,52.7,94.9,6776
85013,43.4,92.2,21025
85014,38.2,86.3,27410
85015,16.9,77.3,39395
85016,42.7,88.9,35321
85017,7.1,61.1,41656
85018,46.8,91.6,37848
85019,7.5,57.9,25994
85020,36.9,88.6,33296
85021,29.5,84.3,41310
85022,32.9,89.1,50242
85023,30.3,88.1,33612
85024,42,95.1,24598
85027,28.3,90,35529
85028,52.9,96.5,19563
85029,19.4,86.2,44745
85031,3.7,53.4,31673
85032,31.5,86.6,71603
85033,5,57.3,65318
85034,18.7,57.9,4480
85035,5.7,56.4,57410
85037,11.3,71.2,52205
85040,12.1,64.3,32526
85041,14,70.7,63152
85042,21.5,78.3,44676
85043,11.5,68.7,38125
85044,45.8,96,40893
85045,56.5,97.6,7467
85048,54.7,97.2,34720
85050,49.7,93.9,30506
85051,15.7,80.8,43234
85053,21.3,89.2,29584
85054,61.7,97.5,7023
85083,46.4,96.9,19363
85085,51.6,96.8,21478
85086,39.8,95.9,41785
85087,23,95.9,7976
85118,36.2,95.4,12439
85119,19,89.5,21825
85120,13.6,85.6,30621
85121,5.2,57.1,2131
85122,14.7,82.8,56298
85123,13.3,83.1,11106
85128,12.2,79.8,16466
85131,7.9,66.8,18542
85132,12.2,75.7,35677
85135,0,76,464
85137,16,87.9,2497
85138,24.4,92.7,36059
85139,14.6,84.2,18327
85140,22.3,91.2,45504
85141,6.5,76.1,427
85142,31.8,94,60306
85143,18.9,91.2,36764
85145,26.8,90.2,3016
85147,3.9,66,3811
85172,18.5,69.9,1636
85173,8.6,76.1,2947
85192,7.9,82.2,1675
85193,5.6,61.3,4408
85194,22.1,88.8,7188
85201,20.8,82.1,51817
85202,29,87.1,38780
85203,24.5,85.6,37773
85204,17.9,80.2,66891
85205,25.3,90.6,41686
85206,25.5,92.8,36379
85207,31.2,91.8,48405
85208,20.5,87.4,37158
85209,28.5,93,41052
85210,18.3,76.8,39712
85212,32.8,92.5,31494
85213,33,92.7,35148
85215,31.2,94.2,16270
85224,37.9,93.8,44000
85225,28.4,84.4,70587
85226,47.5,96.1,37781
85233,41.2,94.8,35556
85234,38.6,94.9,50706
85248,44.9,96.6,32646
85249,48.4,95.9,38586
85250,52.8,97.9,17711
85251,51.1,93.1,40621
85253,68.3,98.1,18509
85254,53.5,96.8,45973
85255,68,97.6,40401
85256,11,71.1,5380
85257,35.9,93.4,31609
85258,60.2,98.2,24549
85259,62.6,98.5,23043
85260,57.2,97.1,38337
85262,60,97.8,10815
85263,53.1,97.1,2531
85264,11.4,81.7,1315
85266,62.2,97.1,12519
85268,49,97.3,24288
85281,38.5,87.6,62626
85282,39.8,93,52799
85283,39.3,90.3,50536
85284,64.7,96.8,18592
85286,52.8,94.3,41807
85295,45.4,95.9,43525
85296,40.7,96.5,42506
85297,48,96,32890
85298,47.7,97,29113
85301,7.8,67.6,67526
85302,18.5,84.7,39647
85303,12.8,78.3,31835
85304,24.9,91.9,27365
85305,26.7,88.4,12073
85306,21.5,91.2,24503
85307,19.1,90.6,9376
85308,35.3,93.9,66295
85310,37.9,94.9,19252
85321,11,81.8,4776
85322,10.3,79.8,764
85323,12.3,75.6,42225
85324,10.8,89.7,2892
85325,13.3,85.6,1087
85326,12.1,80.8,58276
85331,50.6,97,29264
85332,16.8,94.3,1548
85333,9.1,68.6,594
85334,9.1,66.9,844
85335,14.4,81.3,34400
85336,1.3,19,502
85337,12.6,63.1,2611
85338,25.1,90.6,47588
85339,25.9,84.4,45040
85340,33.1,93.1,32436
85342,12.7,88.7,1284
85344,10.1,77.3,10537
85345,17.1,85.4,56473
85347,9.2,65.9,938
85349,7.6,43.8,29972
85350,8.1,58.1,22691
85351,22.5,90.3,28855
85353,14.1,76.4,39400
85354,9.5,74,7008
85355,27,93.5,11369
85356,14,75.6,4997
85361,13.9,89.7,5777
85362,15.2,89.8,669
85363,12.8,82.4,6625
85364,13.7,71.4,74299
85365,19.5,82.8,48973
85367,18.1,88.4,21018
85373,25.6,94.7,18714
85374,28.7,90.9,46395
85375,33.1,94.7,28133
85379,24.1,93,46320
85381,28.7,96.2,24968
85382,36,95,40626
85383,45,97.2,46118
85387,32.8,92.7,10829
85388,25.9,93,28442
85390,24.5,88.6,8924
85392,24,87.6,37710
85395,36,91.9,28364
85396,30,91,17759
85501,15.3,80.9,12657
85530,3.8,73,1942
85533,8.2,86.6,3141
85534,15.3,87.8,2761
85536,19.6,93.9,577
85539,11.1,72.1,5109
85540,13,94.2,3415
85541,24.8,91.1,21546
85542,3,67.1,3440
85543,21.6,86.4,3644
85544,34,94.2,2305
85546,12.3,87.1,20594
85550,6.7,70.1,5227
85551,11.6,84.1,424
85552,22.8,91.7,6556
85553,15.9,93.3,1683
85554,19.7,97.9,493
85602,19.2,89.8,9016
85603,28.3,86,6775
85605,15.3,65.1,468
85606,16.9,86.6,1183
85607,15.2,70.6,14428
85608,2,68.7,6190
85610,11.9,83.4,874
85613,33.5,99.1,5509
85614,40.7,95.9,23229
85615,29.8,92.4,9929
85616,17.5,88.6,5374
85617,18.1,86.6,1293
85618,3.2,70.6,1781
85620,10.3,71.2,670
85621,14.5,65,22290
85622,51.9,97.3,6330
85623,25.2,86.4,4980
85624,39.9,90.5,1390
85625,22.1,91.8,2053
85626,0,60.1,1172
85627,21.8,93.7,1187
85629,32.3,93.2,25500
85630,27.1,94.9,2418
85631,13.9,82.1,3719
85632,30.8,90.4,759
85634,6.8,81.6,6409
85635,27.3,91.1,33574
85637,47.8,94.9,1313
85638,16.4,93.7,1991
85641,36.4,94.3,25657
85643,12.9,79.8,8239
85645,15.3,77.2,2235
85648,22,80.5,18992
85650,38.1,95.1,15136
85653,19.7,85.4,16405
85658,53.1,98.2,10683
85701,51.3,91.7,5286
85704,43,95,31795
85705,16.4,78.2,55463
85706,6.7,66.1,55691
85708,26.3,99.7,4187
85710,27.3,91.5,56168
85711,30.2,87.3,39451
85712,34,90.2,33239
85713,13,73.6,46071
85714,7.5,64.6,14683
85715,43.6,95.6,17066
85716,43.1,89.6,31134
85718,67.2,97.8,26262
85719,46.2,91.5,47503
85730,19.7,89.6,39055
85735,13,89.2,11108
85736,12.1,76.4,4998
85737,51.3,97.4,21293
85739,41.2,94.6,18474
85741,27.4,91,35149
85742,38.4,95.7,26868
85743,34.6,92.4,29552
85745,34.6,87.4,38005
85746,13.2,82.2,43873
85747,37.5,96,25077
85748,37.8,95.2,17727
85749,53,97,19121
85750,64.7,98.4,24207
85755,54.6,98.3,16143
85756,14.8,76,40965
85757,16.2,82.5,19264
85901,18.7,90.7,18279
85911,2.1,58.3,2293
85920,37.4,99.3,309
85924,12.8,88.6,2668
85925,26.3,90.3,4936
85929,23.4,89,7085
85930,4.2,78.6,1340
85933,22,87.6,2690
85935,32.9,93.1,4963
85936,13,81.1,4520
85937,20.5,89.3,7827
85938,17.1,83.6,2042
85939,17.2,83,4215
85940,19,94.8,971
85941,5.2,70,10968
86001,49.6,95.4,44819
86004,39.6,90.8,36186
86011,31,100,8471
86018,30.1,98.5,879
86020,4.4,67,2213
86021,6.3,47,6325
86022,10.6,81.2,2209
86023,21.2,96,1830
86024,33,97.1,585
86025,15.6,87,5552
86030,8.7,86.6,1717
86031,1.6,64.2,1830
86032,14.3,93.6,1396
86033,13.7,81.4,7130
86034,9.7,70.8,2096
86035,10.8,75.2,2061
86036,25.5,89.9,399
86039,8.4,77.1,1218
86040,16.9,84.4,10752
86042,16.6,90.4,2161
86043,5.5,85,2762
86044,6.6,62.7,3707
86045,17.1,82.6,11885
86046,28,92.2,5535
86047,9.5,75.5,15318
86053,4.4,61.3,2441
86054,13.6,72.7,1647
86301,35.3,93.7,22147
86303,39.7,95,17430
86305,37.3,95.1,17956
86314,19.2,86.5,37997
86315,20.4,91,7631
86320,13.4,81.5,2064
86321,13.7,88.9,2091
86322,19.4,85.5,11723
86323,15.9,86.8,15435
86324,20.4,93.6,4316
86325,25.8,90.2,5280
86326,17.7,87.2,24848
86327,19.7,93.1,9571
86329,21.4,97.4,1125
86331,18.6,97.7,521
86332,13.2,86.8,1683
86333,10.8,83.6,6759
86334,7.5,85.4,4847
86335,18.2,89.4,5143
86336,46,94.8,11694
86337,14.3,86.7,1215
86351,39.5,94.9,6734
86401,15.6,88.4,24893
86403,11.9,87,17185
86404,13.1,90.2,17042
86406,16.9,92,23095
86409,11.6,83,27752
86411,2.5,93.6,188
86413,7.5,84,13010
86426,12.9,87.6,14084
86429,17,86.6,7708
86432,3.8,76,3700
86434,9.7,77.3,1572
86438,18,81.3,1002
86440,10.2,83,7208
86441,13.3,70.4,2650
86442,9.9,79,33290
86502,5.9,62.9,1332
86503,10.9,77.2,11553
86504,9.8,84.7,7001
86505,8.7,74.2,7880
86506,2.5,71.2,1208
86507,6,73.4,2481
86508,3.5,69.1,822
86510,9.9,65.2,4741
86511,11.2,76.7,3640
86512,5.3,72.9,2634
86514,7.7,68.1,2734
86515,12.9,80.7,4933
86520,3.7,65.5,1882
86535,2.3,72.5,1260
86538,14.9,76.6,2080
86540,5.9,62.1,1042
86544,5.8,72.1,1129
86545,7,71.5,1436
86547,3.7,67.6,1185
86556,11.6,72.3,1956
87305,2.5,71.7,3553
87327,6.1,74,9505
87328,10.4,80.6,2674
